FCODE,Atoll,islandName,longitude_dd,latitude_dd,Area_ha,category
LD0545,Alifu Dhaalu,Mahibadhoo,72.96903611,3.757222222,23.351844,Residential Island
LD0551,Shaviyani,Narudhoo,73.21811667,6.264333333,41.967426,Residential Island
LD0557,Gaafu Dhaalu,Madaveli,72.99864722,0.458591667,46.595092,Residential Island
LD0560,Noonu,Maafaru,73.47548889,5.823886111,131.609656,Residential Island
LD0563,Haa Alifu,Kelaa,73.21615278,6.954772222,199.113915,Residential Island
LD0564,Raa,Innamaadhoo,73.04453611,5.549447222,36.598738,Residential Island
LD0568,Haa Alifu,Dhidhdhoo,73.110675,6.891802778,94.56152,Residential Island
LD0572,Gaafu Dhaalu,Faresmaathodaa,73.18463056,0.201886111,48.394581,Residential Island
LD0573,Raa,Maduvvari,72.89590833,5.486191667,22.384479,Residential Island
LD0577,Kaafu,Gulhi,73.50903889,3.990683333,11.152936,Residential Island
LD0588,Raa,Alifushi,72.95338333,5.967319444,59.550913,Residential Island
LD0591,MLE,Hulhumalé,73.542925,4.223113889,413.579526,Residential Island
LD0600,Raa,Hulhudhuffaaru,73.01235833,5.764997222,59.831781,Residential Island
LD0605,Raa,Meedhoo,72.95503333,5.458180556,35.696233,Residential Island
LD0606,Faafu,Bileiydhoo,72.98413056,3.11835,31.300563,Residential Island
LD0609,Raa,Vaadhoo,72.99144444,5.856713889,37.536542,Residential Island
LD0627,Thaa,Madifushi,73.35499722,2.356338889,53.135262,Residential Island
LD0630,Gaafu Dhaalu,Rathafandhoo,73.10459167,0.252652778,40.705974,Residential Island
LD0637,Baa,Maalhos,73.10788611,5.134611111,25.370574,Residential Island
LD0646,Shaviyani,Foakaidhoo,73.14933056,6.326647222,66.569125,Residential Island
LD0658,Haa Dhaalu,Nolhivaran,73.08225833,6.662330556,202.233733,Residential Island
LD0662,Dhaalu,Hulhudheli,72.84633889,2.858469444,21.350818,Residential Island
LD0665,Kaafu,Kaashidhoo,73.46118889,4.955725,278.72849,Residential Island
LD0668,Baa,Kendhoo,73.01016667,5.275380556,18.738072,Residential Island
LD0677,Baa,Thulhaadhoo,72.84117778,5.021794444,45.178664,Residential Island
LD0683,Kaafu,Huraa,73.60175,4.333408333,51.957324,Residential Island
LD0686,Haa Dhaalu,Neykurendhoo,72.97972222,6.542972222,168.436742,Residential Island
LD0694,Thaa,Veymandoo,73.0951,2.186919444,44.296727,Residential Island
LD0695,Haa Alifu,Maarandhoo,72.98419722,6.852627778,43.686637,Residential Island
LD0698,Haa Dhaalu,Nellaidhoo,72.9469,6.714911111,31.775847,Residential Island
LD0699,Haa Dhaalu,Makunudhoo,72.70509444,6.409583333,79.253074,Residential Island
LD0701,Haa Alifu,Muraidhoo,73.16727222,6.837961111,46.535629,Residential Island
LD0710,Haa Dhaalu,Naivaadhoo,72.93499167,6.746861111,30.319731,Residential Island
LD0717,Gaafu Dhaalu,Thinadhoo,72.99738889,0.532486111,183.618349,Residential Island
LD0726,Gnaviyani,Fuvahmulah,73.42474444,-0.2957,491.701281,Residential Island
LD0738,Kaafu,Guraidhoo,73.46806111,3.900797222,22.229651,Residential Island
LD0743,Gaafu Alifu,Kolamaafushi,73.18438056,0.837794444,35.06387,Residential Island
LD0745,Kaafu,Thulusdhoo,73.64804444,4.372975,76.158413,Residential Island
LD0766,Gaafu Alifu,Dhaandhoo,73.46125556,0.620922222,31.341337,Residential Island
LD0771,Alifu Dhaalu,Kun'burudhoo,72.92521944,3.775583333,6.439276,Residential Island
LD0783,Thaa,Omadhoo,73.02355556,2.167697222,36.676827,Residential Island
LD0786,Meemu,Raiymandhoo,73.639075,3.089758333,28.109649,Residential Island
LD0790,Raa,Dhuvaafaru,73.04159444,5.628719444,53.789589,Residential Island
LD0793,Meemu,Naalaafushi,73.57738611,2.895116667,12.823994,Residential Island
LD0836,Shaviyani,Goidhoo,72.92995278,6.430080556,98.755034,Residential Island
LD0844,Baa,Dharavandhoo,73.131025,5.157288889,66.417245,Residential Island
LD0851,Gaafu Dhaalu,Hoan'dehdhoo,73.00361389,0.444763889,110.182464,Residential Island
LD0852,Haa Dhaalu,Kurin'bi,72.99668611,6.665575,40.193617,Residential Island
LD0856,Gaafu Alifu,Kan'duhulhudhoo,73.53964167,0.351147222,32.102599,Residential Island
LD0859,Thaa,Vandhoo,72.94192778,2.291680556,25.705228,Residential Island
LD0863,Shaviyani,Funadhoo,73.289675,6.152452778,120.309356,Residential Island
LD0866,Noonu,Ken'dhikulhudhoo,73.41586389,5.952636111,205.474734,Residential Island
LD0873,Kaafu,Gaafaru,73.49974167,4.736055556,19.212245,Residential Island
LD0874,Alifu Alifu,Himandhoo,72.74404722,3.920902778,20.738248,Residential Island
LD0887,Gaafu Dhaalu,Gadhdhoo,73.45762222,0.290063889,58.266664,Residential Island
LD0894,Kaafu,Dhiffushi,73.71419167,4.441725,26.708954,Residential Island
LD0901,Haa Alifu,Molhadhoo,72.99809167,7.012297222,116.598633,Residential Island
LD0907,Noonu,Magoodhoo,73.36247778,5.776472222,36.34006,Residential Island
LD0908,Haa Alifu,Ihavandhoo,72.92620556,6.953047222,61.288543,Residential Island
LD0915,Haa Alifu,Thuraakunu,72.89930556,7.104313889,25.64951,Residential Island
LD0916,Alifu Alifu,Ukulhas,72.86425556,4.215058333,23.478809,Residential Island
LD0924,Raa,Fainu,73.03458333,5.46345,60.855404,Residential Island
LD0931,Baa,Goidhoo,72.99889722,4.873077778,160.76877,Residential Island
LD0938,Laamu,Maavah,73.24349444,1.88565,39.58831,Residential Island
LD0947,Seenu,Feydhoo,73.13441944,-0.683144444,121.540017,Residential Island
LD0962,Noonu,Hen'badhoo,73.39298333,5.967555556,13.596253,Residential Island
LD0970,Faafu,Dharan'boodhoo,72.92598611,3.062872222,39.719713,Residential Island
LD0978,Shaviyani,Lhaimagu,73.25139722,6.164072222,43.379582,Residential Island
LD0984,Haa Alifu,Thakandhoo,72.99553056,6.844011111,40.507757,Residential Island
LD0985,Shaviyani,Noomaraa,73.06909722,6.434219444,38.480473,Residential Island
LD0987,Haa Alifu,Baarah,73.20908056,6.816402778,244.872058,Residential Island
LD0993,Haa Alifu,Filladhoo,73.22805278,6.874902778,260.548037,Residential Island
LD1000,Baa,Hithaadhoo,72.922975,5.007197222,31.306807,Residential Island
LD1004,Seenu,Hithadhoo,73.09000556,-0.608511111,547.700948,Residential Island
LD1023,Alifu Dhaalu,Hangnaameedhoo,72.95526389,3.849238889,20.094361,Residential Island
LD1038,Laamu,Fonadhoo,73.50051389,1.833058333,170.274762,Residential Island
LD1047,Alifu Dhaalu,Dhigurah,72.92580556,3.5303,54.503273,Residential Island
LD1049,Laamu,Dhan'bidhoo,73.54503611,2.09465,53.478711,Residential Island
LD1050,Dhaalu,Meedhoo,73.00740556,2.998105556,32.261606,Residential Island
LD1053,Laamu,Maabaidhoo,73.53271389,2.025777778,52.379258,Residential Island
LD1058,Shaviyani,Komandoo,73.05430278,6.054144444,21.776442,Residential Island
LD1064,Shaviyani,Bileiyfahi,72.97486111,6.337788889,65.308943,Residential Island
LD1068,Noonu,Miladhoo,73.36259167,5.790466667,22.001065,Residential Island
LD1070,Laamu,Isdhoo,73.57785833,2.123802778,145.854975,Residential Island
LD1079,Vaavu,Thinadhoo,73.53842222,3.487658333,12.359498,Residential Island
LD1085,Gaafu Alifu,Maamendhoo,73.43916667,0.714213889,51.55565,Residential Island
LD1091,Gaafu Alifu,Nilandhoo,73.44646111,0.636244444,60.837266,Residential Island
LD1092,Shaviyani,Kan'ditheemu,72.91646111,6.440347222,87.650206,Residential Island
LD1100,Shaviyani,Feydhoo,73.0488,6.360652778,88.619678,Residential Island
LD1121,Raa,In'guraidhoo,73.0368,5.477063889,46.385722,Residential Island
LD1129,Kaafu,Hinmafushi,73.57111944,4.308019444,65.369743,Residential Island
LD1144,Shaviyani,Maroshi,73.06125833,6.209575,30.317748,Residential Island
LD1149,Shaviyani,Feevah,73.20924167,6.348927778,85.942181,Residential Island
LD1158,Faafu,Nilandhoo,72.88899167,3.056927778,74.129242,Residential Island
LD1163,Thaa,Guraidhoo,73.31756111,2.322844444,75.845512,Residential Island
LD1166,Meemu,Maduvvari,73.57311111,3.105041667,12.003802,Residential Island
LD1167,Meemu,Veyvah,73.59998056,2.956216667,41.669537,Residential Island
LD1175,Raa,Un'goofaaru,73.03010556,5.668216667,35.575416,Residential Island
LD1182,Gaafu Alifu,Gemanafushi,73.56829167,0.442663889,56.398098,Residential Island
LD1473,Laamu,Kalaidhoo,73.56015,2.114925,211.691257,Residential Island
